n1,n2,n3,n4,n5,n6,n7
17,36,25,35,44,39,23
5,4,9,11,23,38,35
32,33,11,14,5,29,12
31,10,44,45,5,19,27
9,8,10,12,24,44,35
28,4,6,13,40,17,39
24,21,13,26,37,22,4
27,22,21,37,26,31,8
37,39,13,4,1,8,7
1,44,17,24,11,21,33
4,31,2,28,34,15,35
41,44,15,39,24,11,7
6,10,41,16,43,40,21
2,35,28,24,16,27,21
19,4,34,21,32,20,43
2,28,42,12,19,17,34
38,16,25,36,13,37,19
32,9,27,38,31,11,22
26,23,21,18,13,39,15
28,36,40,15,39,12,13
38,45,17,8,3,23,13
27,8,44,41,31,3,11
23,37,43,30,19,45,38
38,25,7,19,6,28,45
23,31,45,26,14,39,28
34,19,8,25,31,36,33
24,1,20,5,30,19,27
5,27,6,1,42,24,32
14,11,43,4,23,21,32
6,31,32,37,27,13,4
40,31,27,14,38,30,17
14,4,45,35,42,5,34
7,24,40,12,15,37,43
16,18,43,11,6,31,2
31,12,25,24,9,29,36
1,32,40,37,28,27,18
16,36,9,41,44,27,5
5,38,39,37,9,34,12
42,3,11,22,4,9,37
41,36,7,34,24,8,1
24,32,19,45,10,3,12
43,5,20,36,18,42,32
12,5,21,9,26,20,27
40,27,9,8,29,3,36
12,9,7,43,39,27,28
24,8,44,1,31,34,6
35,14,15,26,39,13,25
40,14,35,20,19,38,26
39,33,4,41,15,21,25
12,10,15,29,25,13,20
37,41,11,43,39,3,13
38,7,31,16,37,36,11
37,24,23,11,10,36,35
3,1,6,4,41,14,12
5,31,18,32,2,10,30
31,18,6,38,8,45,42
7,15,2,30,24,45,28
41,33,40,37,13,45,2
19,44,42,1,15,40,17
24,12,27,37,6,35,41
35,28,1,17,41,12,10
3,33,37,14,38,42,10
39,32,18,8,45,13,7
20,7,42,18,3,8,45
34,31,17,18,32,33,10
33,29,21,9,17,1,24
10,6,17,37,38,30,40
38,18,4,1,12,16,8
15,30,3,27,45,8,44
19,11,6,20,32,28,34
5,27,29,9,37,40,19
25,45,1,20,36,3,24
9,7,26,38,10,12,39
13,11,33,37,43,7,26
19,13,20,38,32,42,4
17,45,38,2,30,14,43
26,4,41,10,16,33,38
18,39,23,8,21,7,9
4,23,41,34,30,18,19
25,15,23,21,45,5,12
17,45,37,15,19,14,40
2,5,11,36,1,18,22
19,1,5,34,28,41,16
27,12,24,32,4,28,10
2,6,5,20,12,3,25
35,34,45,17,9,43,2
15,19,41,38,17,34,2
1,43,33,45,13,35,23
11,31,21,27,10,39,43
11,36,22,10,3,39,8
19,20,34,17,2,45,21
42,5,8,28,22,33,37
16,23,45,25,19,41,3
34,20,18,12,21,25,42
38,32,29,18,9,43,20
32,15,14,36,42,10,3
25,21,33,4,36,2,17
45,20,44,7,32,17,33
33,39,25,16,23,36,40
12,44,13,17,32,6,24
1,28,9,16,17,6,24
9,35,30,17,42,19,4
3,16,19,17,4,20,23
4,44,26,31,14,9,39
45,17,36,16,34,42,3
43,27,39,30,5,14,35
21,39,29,15,13,43,33
9,16,5,26,23,45,21
5,20,34,44,3,35,16
37,18,1,14,32,5,4
13,42,2,45,34,38,16
21,8,6,14,30,37,45
26,18,38,24,34,29,32
39,1,19,43,8,34,41
33,14,13,43,34,1,25
31,1,17,10,29,43,15
15,28,1,34,2,45,38
23,29,42,15,20,39,2
14,22,13,5,44,45,33
32,27,8,3,42,13,10
14,31,24,17,3,20,34
5,14,13,25,20,24,36
33,29,24,8,18,1,35
27,29,25,36,5,34,33
17,20,41,16,26,5,24
36,16,11,29,19,22,26
45,44,36,19,43,14,1
35,29,5,30,44,8,38
8,29,45,14,2,25,24
37,18,10,14,21,36,5
21,1,9,12,40,10,37
20,1,40,10,24,19,23
25,35,40,16,4,23,27
24,10,27,16,5,35,33
30,2,22,27,3,40,29
21,11,14,32,12,38,6
2,16,7,5,14,40,4
30,5,26,15,21,25,31
19,27,44,12,26,5,38
25,44,22,29,32,3,19
24,11,21,39,45,30,26
41,35,20,43,17,36,21
45,16,18,24,42,44,17
7,9,15,27,26,42,18
8,18,16,14,11,21,13
45,37,43,26,42,15,9
11,17,25,34,13,15,26
27,19,4,45,8,25,7
40,28,24,11,13,1,7
22,6,43,29,45,37,23
29,22,39,34,5,31,43
35,22,10,31,6,40,19
37,1,17,2,8,26,27
5,1,12,10,20,16,11
15,22,10,42,24,27,19
15,4,37,40,33,28,25
32,38,36,11,24,22,7
7,19,29,12,21,32,9
7,10,31,4,40,19,26
40,43,26,31,34,1,20
29,1,8,17,32,9,45
26,18,7,16,20,23,3
16,28,17,40,37,39,15
11,39,22,28,10,18,30
8,1,42,3,24,7,43
43,40,28,16,41,9,21
20,13,22,28,25,1,15
35,15,20,11,31,26,7
18,34,45,31,20,40,30
12,13,17,22,25,33,8
10,15,20,23,42,44,7
1,2,9,17,19,42,20
9,21,27,34,41,43,2
6,12,18,31,38,43,9
