n1,n2,n3,n4,n5,n6,n7
24,27,1,35,3,8,28
29,13,4,39,1,38,7
6,11,24,15,32,39,28
16,7,4,44,24,14,20
18,45,13,20,17,42,41
9,1,28,3,18,14,34
19,2,8,22,42,32,39
12,14,10,20,6,42,15
25,38,45,35,33,17,15
39,1,45,43,4,29,31
37,30,15,7,44,39,18
18,29,13,8,24,27,17
37,17,8,15,16,11,36
11,21,16,25,8,19,40
11,31,30,44,41,9,33
29,44,34,23,40,15,20
9,36,15,12,25,34,3
1,35,12,38,9,26,42
35,45,18,20,5,11,3
36,21,22,41,34,26,32
26,3,11,27,18,14,21
37,31,14,23,33,40,44
15,42,34,41,26,28,44
34,22,12,23,18,30,32
45,21,37,25,19,3,35
17,39,1,4,13,34,6
29,12,45,41,27,38,6
12,45,15,24,17,29,16
45,5,11,42,6,29,28
14,16,29,10,35,18,25
22,20,9,38,18,44,10
9,20,29,33,25,8,7
32,13,41,31,12,5,34
35,45,16,14,39,27,5
18,13,7,12,35,5,23
37,32,12,41,30,39,24
5,17,11,29,24,2,9
22,32,6,7,35,36,19
6,36,12,19,1,42,28
20,44,15,35,3,11,10
33,38,40,26,32,31,11
9,14,42,35,34,41,2
22,32,34,2,45,5,39
22,33,14,15,2,27,31
16,27,44,24,37,7,2
19,6,39,36,2,3,26
36,26,31,8,16,29,11
7,11,9,18,6,17,45
43,14,34,23,5,15,4
12,3,5,22,26,31,19
28,26,36,12,17,20,4
19,21,14,6,15,41,37
35,7,29,25,36,16,28
2,33,40,20,44,42,32
6,12,17,21,39,32,30
13,3,5,37,20,21,17
12,6,38,43,31,35,17
26,33,21,32,35,30,44
5,27,17,26,38,35,1
45,30,26,22,34,29,15
27,19,30,14,28,45,33
22,7,33,14,12,4,31
24,32,13,45,20,36,29
45,8,19,40,27,13,12
32,11,23,40,30,25,42
34,25,7,10,40,22,27
38,45,10,3,33,24,36
37,4,45,24,35,27,15
41,31,32,45,20,40,12
24,3,23,6,22,38,30
18,6,35,3,9,22,14
23,3,32,19,18,45,24
16,32,6,21,11,19,45
28,7,10,23,33,19,18
4,19,35,26,7,33,3
31,28,1,18,22,10,44
30,6,41,22,14,3,36
2,30,21,11,35,1,39
23,32,20,18,43,16,27
38,30,18,28,6,32,15
27,1,28,41,20,6,15
35,24,45,44,23,1,10
33,9,7,37,36,3,10
43,40,4,8,30,17,34
36,6,38,10,11,14,43
18,45,37,8,4,24,6
16,23,13,36,44,31,38
38,9,16,24,23,1,17
21,42,27,34,26,32,31
7,22,3,14,38,15,17
29,42,33,8,12,13,5
4,7,17,38,44,18,36
16,27,35,25,36,11,37
34,14,21,18,44,13,16
21,39,30,22,44,11,31
4,31,42,43,37,18,40
29,40,19,12,21,45,1
24,30,23,28,6,20,44
45,26,7,19,33,18,37
17,43,10,30,35,22,44
15,7,6,26,22,40,41
40,34,14,8,29,28,12
43,1,23,19,16,12,34
34,37,40,33,35,14,4
24,16,41,43,21,12,15
20,3,38,40,43,28,4
31,29,26,17,30,43,12
7,6,42,36,13,28,41
26,13,38,37,22,14,20
40,31,12,44,29,10,2
38,30,21,7,1,35,2
39,16,34,40,37,6,11
4,29,1,45,3,42,36
30,41,40,6,14,31,29
7,39,19,37,26,44,27
13,19,12,33,40,10,2
11,20,7,22,3,41,24
30,13,43,33,3,45,4
16,26,20,44,36,42,24
20,32,44,13,21,11,8
16,33,10,38,19,32,3
7,23,12,32,34,36,8
17,30,25,16,31,15,32
4,30,36,33,3,9,7
16,11,14,13,15,45,3
13,9,45,12,20,1,3
41,38,2,26,31,19,34
32,44,38,24,6,31,8
6,30,35,34,21,3,22
21,34,19,35,24,13,26
30,17,34,8,33,3,28
33,6,14,40,25,44,30
11,9,4,40,37,5,7
37,10,15,31,24,30,32
33,28,16,5,1,8,45
17,28,10,5,34,11,22
28,25,19,21,27,15,40
27,14,6,2,38,1,33
41,34,6,7,28,19,5
13,34,29,20,28,14,23
19,7,3,9,13,24,23
1,21,33,19,13,6,4
44,33,42,38,21,35,1
33,45,15,4,9,12,26
19,20,14,34,16,29,35
15,37,12,5,40,30,18
38,29,10,22,31,7,15
21,26,35,12,7,11,20
37,41,30,2,28,8,22
36,17,27,16,10,28,6
34,12,4,26,3,15,6
31,33,2,11,44,37,32
6,19,17,11,40,43,28
7,37,11,26,24,27,32
16,22,13,15,6,3,32
21,15,8,32,36,19,38
45,18,39,35,9,8,25
27,29,9,3,15,2,8
31,36,35,37,32,30,5
35,9,44,13,1,10,5
22,38,32,8,4,26,27
19,10,37,27,38,16,13
45,39,34,41,30,31,7
5,7,20,26,25,12,28
38,21,27,25,32,37,20
3,28,39,9,38,27,7
39,7,36,13,45,18,19
2,12,34,24,20,42,37
29,28,21,25,22,20,6
13,2,33,16,15,43,4
25,18,39,23,17,38,22
38,29,45,7,6,27,17
14,42,25,29,23,27,16
35,40,8,31,39,23,24
33,9,24,37,21,30,29
39,26,24,12,42,5,20
3,38,13,28,34,42,25
7,3,12,6,17,11,19
44,42,40,9,24,7,45
30,35,20,1,18,5,3
8,17,39,14,36,11,22
42,8,4,3,6,32,31
30,11,35,9,7,21,29
3,43,7,15,19,16,21
43,5,27,44,6,11,17
44,18,16,24,40,3,21
37,40,18,6,12,41,3
8,14,20,41,10,33,28
31,21,13,25,28,1,22
36,4,15,23,17,27,31
